"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://fprom.kz/","text/html; charset=utf-8","200","OK","Indexable","","Промышленное оборудование в Казахстане — поставки от Fortune PROM","65","695","ТОО «Fortune PROM» — комплексные поставки промышленного оборудования по Казахстану и СНГ. Насосы, дробилки, краны, редукторы, электрооборудование. Более 10 лет на рынке.","169","1225","FortuneProm, поставки промышленного оборудования, Горнорудная промышленность, Строительство общего назначения, Металлургия, Нефтегазовая индустрия, Перерабатывающая промышленность, Дорожное строительство, Атомная промышленность, Химическая промышленность. ","256","Промышленные редукторы","22","Насосное оборудование","21","СПЕЦИАЛЬНЫЕ УСЛОВИЯ ДЛЯ ПРЕДПРИЯТИЙ","35","Акционные товары дня","20","index,follow","","","https://fprom.kz/","","","","","","815826","57400","57400","8,507","","1320","478","2,762","100,000","Very Easy","2,934","0","0","","8358","473","0","100,000","660","474","0","7","6","0","","","","","e84cac3a516dc5607d0c1b987d7298b","0,425","","","","","ru","1.1","","","","","","https://fprom.kz/","2026-07-03 15:13:03"
"https://fprom.kz/nasosy-vakuumnye-vvn","text/html; charset=utf-8","200","OK","Indexable","","Насосы вакуумные (ВВН)","22","239","Продажа Насосы вакуумные (ВВН) в Казахстане. Широкий ассортимент — 0 позиций. Сертифицированное оборудование. Доставка по Алматы и Казахстану.","142","1043","Насосы вакуумные (ВВН)","22","Насосы вакуумные (ВВН)","22","","0","Насосы вакуумные (ВВН) с доставкой по Казахстану","48","","0","index,follow","","","https://fprom.kz/nasosy-vakuumnye-vvn","","","","","","679355","48872","48872","7,243","","221","82","2,695","100,000","Very Easy","2,205","1","0","","477","473","0","100,000","498","442","0","7","6","0","","","","","879ae4438e178239245444e852f8694f","0,299","Fri, 03 Jul 2026 09:44:00 GMT","","","","ru","1.1","","","","","","https://fprom.kz/nasosy-vakuumnye-vvn","2026-07-03 15:13:04"
"https://fprom.kz/avtomaticheskie-odnonasosnye-ustanovki-podderzhaniya-davleniya","text/html; charset=utf-8","200","OK","Indexable","","Автоматические однонасосные установки поддержания давления – насосное оборудование","82","886","Однонасосные автоматические установки поддержания давления обеспечивают стабильное водоснабжение и защиту насосного оборудования. Идеальны для бытового и промышленного применения.","179","1337","однонасосные установки, поддержание давления, насосные станции, автоматические насосные установки","97","Автоматические однонасосные установки поддержания давления","58","","0","","0","","0","index,follow","","","https://fprom.kz/avtomaticheskie-odnonasosnye-ustanovki-podderzhaniya-davleniya","","","","","","694767","51032","51032","7,563","","308","108","2,852","100,000","Very Easy","2,275","1","0","","477","473","0","100,000","509","446","0","7","6","0","","","","","9a515437995f17f20020a0d21cd4d06d","0,343","Fri, 10 Apr 2026 11:04:00 GMT","","","","ru","1.1","","","","","","https://fprom.kz/avtomaticheskie-odnonasosnye-ustanovki-podderzhaniya-davleniya","2026-07-03 15:13:04"
"https://fprom.kz/dizelnaya-portovaya-tehnika","text/html; charset=utf-8","200","OK","Indexable","","Купить Дизельная портовая техника от ТОО ""FortunePROM""","54","565","Дизельная портовая техника  — промышленный Портовая техника. Цена, характеристики и наличие на складе. Быстрая доставка по Казахстану. fprom.kz","143","1023","Дизельная портовая техника fprom.kz","35","","0","","0","","0","","0","index,follow","","","https://fprom.kz/dizelnaya-portovaya-tehnika","","","","","","681427","51065","51065","7,568","","267","106","2,519","100,000","Very Easy","2,251","1","0","","483","473","0","100,000","502","444","0","7","6","0","","","","","baf755ae9ea04016fac7dae3be6a8ab0","0,173","Fri, 06 Mar 2026 10:21:00 GMT","","","","ru","1.1","","","","","","https://fprom.kz/dizelnaya-portovaya-tehnika","2026-07-03 15:13:04"
"https://fprom.kz/proizvodstvennye-linii-i-zavody","text/html; charset=utf-8","200","OK","Indexable","","Производственные линии и заводы","31","343","Купить Производственные линии и заводы в Казахстане. 0 позиций в каталоге. Доставка по Алматы и РК. Звоните: +7 (727) 384-43-13.","128","892","Производственные линии и заводы","31","Производственные линии и заводы","31","","0","Купить Производственные линии заводы в Казахстане","49","","0","index,follow","","","https://fprom.kz/proizvodstvennye-linii-i-zavody","","","","","","722167","51954","51954","7,700","","417","175","2,383","100,000","Very Easy","2,288","1","0","","954","473","0","100,000","545","459","0","7","6","0","","","","","3f390c18ba9c12745936d0d41e5d0891","0,212","Fri, 03 Jul 2026 09:44:00 GMT","","","","ru","1.1","","","","","","https://fprom.kz/proizvodstvennye-linii-i-zavody","2026-07-03 15:13:05"
"https://fprom.kz/kalorifery-elektricheskie-delsot","text/html; charset=utf-8","200","OK","Indexable","","Калориферы электрические ДЕЛСОТ","31","356","Калориферы электрические ДЕЛСОТ","31","246","Калориферы электрические ДЕЛСОТ","31","Калориферы электрические ДЕЛСОТ","31","","0","Калориферы электрические ДЕЛСОТ с доставкой по Казахстану","57","","0","index,follow","","","https://fprom.kz/kalorifery-elektricheskie-delsot","","","","","","682488","49866","49866","7,390","","237","91","2,604","100,000","Very Easy","2,218","1","0","","477","473","0","100,000","500","443","0","7","6","0","","","","","2ea42474f78d9f43ac141a6e20d8b6c","0,185","Fri, 03 Jul 2026 09:41:00 GMT","","","","ru","1.1","","","","","","https://fprom.kz/kalorifery-elektricheskie-delsot","2026-07-03 15:13:05"
"https://fprom.kz/nasosy-bytovyenasosy-pogruzhnye-dlya-chistoj-i-slabo-zagryaznennoj-vodynasosy-pogruzhnye-dlya-chistoj-i-slabo-zagryaznennoj-vody","text/html; charset=utf-8","200","OK","Indexable","","Насосы бытовые Насосы погружные для чистой и слабо загрязнённой воды","68","729","Насосы бытовыеНасосы погружные для чистой и слабо загрязнённой водыНасосы погружные для чистой и слабо загрязнённой воды","120","892","Насосы бытовые Насосы погружные для чистой и слабо загрязнённой воды","68","Насосы бытовые Насосы погружные для чистой и слабо загрязнённой воды","68","","0","Насосы бытовые Насосы погружные для чистой и слабо загрязнённой воды — продажа в Казахстане","91","","0","index,follow","","","https://fprom.kz/nasosy-bytovyenasosy-pogruzhnye-dlya-chistoj-i-slabo-zagryaznennoj-vodynasosy-pogruzhnye-dlya-chistoj-i-slabo-zagryaznennoj-vody","","","","","","801014","53843","53843","7,980","","641","204","3,142","100,000","Very Easy","2,224","1","0","","492","473","0","100,000","578","464","0","7","6","0","","","","","2cbef9ff96a6273a469db2d228e67800","0,253","Fri, 03 Jul 2026 09:41:00 GMT","","","","ru","1.1","","","","","","https://fprom.kz/nasosy-bytovyenasosy-pogruzhnye-dlya-chistoj-i-slabo-zagryaznennoj-vodynasosy-pogruzhnye-dlya-chistoj-i-slabo-zagryaznennoj-vody","2026-07-03 15:13:05"
"https://fprom.kz/kanalizatsionnye-nasosy","text/html; charset=utf-8","200","OK","Indexable","","Канализационные насосы","22","253","Канализационные насосы","22","174","Канализационные насосы","22","Канализационные насосы","22","","0","Канализационные насосы — продажа в Казахстане","45","","0","index,follow","","","https://fprom.kz/kanalizatsionnye-nasosy","","","","","","727018","49635","49635","7,356","","232","93","2,495","100,000","Very Easy","2,080","1","0","","491","473","0","100,000","510","442","0","7","6","0","","","","","7776ea2d5ddfb9a37b7b12f68db5556d","1,226","Fri, 03 Jul 2026 09:41:00 GMT","","","","ru","1.1","","","","","","https://fprom.kz/kanalizatsionnye-nasosy","2026-07-03 15:13:04"
"https://fprom.kz/promyshlennye-reduktorykomplektuyuschie-dlya-reduktorovinnovertflanets-80-90-b5-200mm-k-reduktoru-innovert-063","text/html; charset=utf-8","200","OK","Indexable","","Фланец 80/90 B5 (200мм) к редуктору INNOVERT 063 FP-ФЛА-80-90-80B50-2 — купить в Казахстане, цена, характеристики | fprom.kz","124","1238","Фланец 80/90 B5 (200мм) к редуктору INNOVERT 063 FP-ФЛА-80-90-80B50-2 — промышленный INNORED и INNOVERT. Цена, характеристики и наличие на складе. Быстрая доставка по Казахстану. fprom.kz","187","1348","Фланец 80/90 B5 (200мм) к редуктору INNOVERT 063, INNORED и INNOVERT, , купить Фланец 80/90 B5 (200мм) к редуктору INNOVERT 063, Фланец 80/90 B5 (200мм) к редуктору INNOVERT 063 цена","182","Фланец 80/90 B5 (200мм) к редуктору INNOVERT 063 FP-ФЛА-80-90-80B50-2","69","","0","Фланец 80/90 B5 (200мм) к редуктору INNOVERT 063 - купить в Алматы","66","","0","index,follow","","","https://fprom.kz/promyshlennye-reduktorykomplektuyuschie-dlya-reduktorovinnovertflanets-80-90-b5-200mm-k-reduktoru-innovert-063","","","","","","696797","53100","53100","7,869","","540","175","3,086","100,000","Very Easy","2,483","1","0","","8","4","0","0,850","504","444","0","7","6","0","","","","","d8fa0d8848e318ae5d1e0c6e3a5d1639","1,140","Tue, 14 Apr 2026 12:06:00 GMT","","","","ru","1.1","","","","","","https://fprom.kz/promyshlennye-reduktorykomplektuyuschie-dlya-reduktorovinnovertflanets-80-90-b5-200mm-k-reduktoru-innovert-063","2026-07-03 15:13:04"
"https://fprom.kz/transformatory","text/html; charset=utf-8","200","OK","Indexable","","Трансформаторы","14","167","Трансформаторы","14","117","Трансформаторы","14","Трансформаторы","14","","0","Трансформаторы — продажа в Казахстане","37","","0","index,follow","","","https://fprom.kz/transformatory","https://fprom.kz/transformatory/page-2","","","","","738115","52910","52910","7,841","","512","193","2,653","100,000","Very Easy","2,344","1","0","","492","473","0","100,000","573","472","0","7","6","0","","","","","1e70ae0b2da58e33173b406042b752b5","0,170","Fri, 03 Jul 2026 09:41:00 GMT","","","","ru","1.1","","","","","","https://fprom.kz/transformatory","2026-07-03 15:13:05"
